Date,Hist,ATM100,ATM80,ATM60
01/16/15,34.64108782,34.641,38.328,43.642
01/15/15,33.02007481,33.02,38.267,43.564
01/14/15,32.78181821,32.782,36.174,41.642
01/13/15,31.72839319,31.728,37.515,42.924
01/12/15,31.6890311,31.689,38.196,44.149
01/09/15,31.09532582,31.095,37.606,43.227
01/08/15,31.59213648,31.592,37.332,42.976
01/07/15,31.59295129,31.593,39.393,45.202
01/06/15,32.58999473,32.59,42.981,48.808
01/05/15,32.07053822,32.071,43.263,49.14
01/02/15,31.13207382,31.132,40.912,46.47
12/31/14,31.11739395,31.117,40.162,45.686
12/30/14,31.11191042,31.112,42.254,47.5
12/29/14,31.02726956,31.027,44.551,49.805
12/26/14,30.96825189,30.968,42.998,48.349
12/24/14,30.97057227,30.971,42.274,47.668
12/23/14,30.83773107,30.838,40.351,45.77
12/22/14,30.1393196,30.139,40.194,45.69
12/19/14,30.30112938,30.301,38.247,43.652
12/18/14,28.98679286,28.987,37.372,42.881
12/17/14,28.80566081,28.806,36.563,42.148
12/16/14,27.94358901,27.944,35.867,41.795
12/15/14,27.89492411,27.895,34.847,40.385
12/12/14,27.8442249,27.844,34.036,39.358
12/11/14,27.5391599,27.539,32.313,37.812
12/10/14,27.64437943,27.644,32.007,37.464
12/09/14,26.85175783,26.852,30.509,36.147
12/08/14,26.73509706,26.735,30.765,36.083
12/05/14,26.15475593,26.155,28.65,34.222
12/04/14,26.16733967,26.167,29.136,34.377
12/03/14,26.16998324,26.17,29.396,34.666
12/02/14,26.18500394,26.185,29.777,35.226
12/01/14,25.87991677,25.88,29.479,35.012
11/28/14,24.73381912,24.734,29.911,35.495
11/27/14,24.14414389,24.144,28.766,33.246
11/26/14,20.51345657,20.513,28.473,32.967
11/25/14,20.54069426,20.541,29.812,34.483
11/24/14,21.02062832,21.021,29.294,34.261
11/21/14,21.18174865,21.182,28.247,32.898
11/20/14,20.74025352,20.74,27.342,32.3
11/19/14,20.54680342,20.547,27.448,32.085
11/18/14,20.54568019,20.546,27.022,32.09
11/17/14,20.5686756,20.569,26.899,31.578
11/14/14,20.58520383,20.585,26.503,31.187
11/13/14,19.50269233,19.503,27,31.548
11/12/14,17.48407636,17.484,25.653,30.178
11/11/14,17.39528723,17.395,25.241,29.994
11/10/14,17.47927635,17.479,26.31,31.388
11/07/14,17.43657659,17.437,25.711,30.78
11/06/14,17.48502501,17.485,26.005,31.08
11/05/14,17.73301023,17.733,26.169,31.331
11/04/14,18.30299629,18.303,26.35,31.38
11/03/14,18.08587546,18.086,24.723,29.754
10/31/14,18.07794769,18.078,24.142,29.205
10/30/14,18.10255815,18.103,23.733,28.762
10/29/14,18.04525839,18.045,22.625,27.7
10/28/14,17.88915128,17.889,22.34,27.561
10/27/14,17.84168387,17.842,22.812,27.899
10/24/14,17.84999832,17.85,21.766,26.685
10/23/14,17.88176025,17.882,20.477,25.383
10/22/14,17.03323799,17.033,20.36,25.104
10/21/14,16.91737642,16.917,19.109,24.159
10/20/14,16.85519076,16.855,20.186,25.245
10/17/14,16.89430082,16.894,20.798,25.85
10/16/14,16.75466901,16.755,22.726,27.892
10/15/14,16.33796275,16.338,24.167,29.167
10/14/14,16.11703193,16.117,22.986,27.768
