Date,Hist,ATM100,ATM80,ATM60
08/21/20,27.56635247,36.121,43.788,59.281
08/20/20,27.37958331,36.022,44.017,59.555
08/19/20,27.91131489,36.279,44.458,59.779
08/18/20,27.94234782,36.087,44.984,60.739
08/17/20,28.44773402,36.525,45.185,60.836
08/14/20,28.45201059,36.668,45.325,60.877
08/13/20,28.52852151,36.706,45.097,59.974
08/12/20,28.5896868,36.294,44.712,59.859
08/11/20,28.38927456,36.537,45.246,60.507
08/10/20,28.50887663,36.889,45.482,60.642
08/07/20,28.46384311,37.388,45.941,60.441
08/06/20,29.91867531,36.971,45.359,59.763
08/05/20,30.03144419,37.178,45.505,60.061
08/04/20,30.23901059,37.833,46.495,61.307
08/03/20,30.41205266,38.053,48.149,65.802
07/31/20,30.31592065,39.375,51.034,66.389
07/30/20,31.45690136,40.134,51.762,67.495
07/29/20,32.58615948,38.063,49.385,65.327
07/28/20,32.64338076,39.86,50.786,65.674
07/27/20,33.52490401,40.889,51.559,65.796
07/24/20,35.84945924,41.653,52.677,67.51
07/23/20,35.83372724,42.272,53.418,68.239
07/22/20,36.1047316,38.472,50.938,65.602
07/21/20,36.89793835,37.605,49.744,64.742
07/20/20,36.76108497,39.421,53.026,68.251
07/17/20,36.9164017,39.655,52.97,67.954
07/16/20,37.20027432,40.008,53.398,67.981
07/15/20,37.20513887,39.417,52.796,67.511
07/14/20,37.2667989,40.348,54.003,68.506
07/13/20,37.61269801,39.148,52.876,67.424
07/10/20,46.0386626,40.44,53.73,68.979
07/09/20,45.98268123,41.719,55.189,69.474
07/08/20,45.78319773,41.354,54.824,68.735
07/07/20,45.78036929,42.656,56.039,70.284
07/06/20,47.47022059,42.838,56.365,70.575
07/03/20,47.44840857,42.437,55.401,69.348
07/02/20,47.8266733,42.35,55.237,68.724
07/01/20,47.67014035,43.516,56.52,71.624
06/30/20,47.6151289,45.183,59.437,72.372
06/29/20,47.59422393,45.792,59.944,73.152
06/26/20,47.33081609,46.705,59.755,62.262
06/25/20,47.39733386,47.577,57.712,62.546
06/24/20,47.65839963,47.378,58.623,62.889
06/23/20,47.4673624,46.503,54.074,61.153
06/22/20,47.50219522,46.024,53.675,61.368
06/19/20,47.31217449,46.269,54.213,61.795
06/18/20,47.31210992,44.82,53.473,59.549
06/17/20,47.64116705,45.129,54.437,59.663
06/16/20,47.82722789,44.933,54.071,59.383
06/15/20,47.77922632,47.111,56.2,60.553
06/12/20,47.83181698,47.852,60.741,62.295
06/11/20,48.48265543,46.238,55.139,59.374
06/10/20,48.6126747,41.558,49.897,55.779
06/09/20,52.2381871,41.43,49.72,54.97
06/08/20,52.37630714,41.737,49.124,54.823
06/05/20,53.83617712,40.728,48.877,53.813
06/04/20,53.34053075,41.433,47.998,54.136
06/03/20,53.43792977,41.796,47.422,53.839
06/02/20,53.37930567,42.041,47.15,53.635
06/01/20,54.72397542,42.989,49.465,55.147
05/29/20,66.48440754,44.971,52.722,55.994
05/28/20,67.10236723,45.646,53.941,55.845
05/27/20,67.05527269,46.935,56.079,56.954
05/26/20,66.95872102,44.108,52.54,54.936
05/25/20,66.86615725,43.304,52.345,55.284
05/22/20,67.11923325,43.664,52.508,54.763
05/21/20,67.43228589,42.734,49.832,53.516
05/20/20,67.42429258,43.858,51.927,55.599
05/19/20,67.26583749,45.566,54.094,57.084
05/18/20,67.4166144,46.621,55.011,58.219
05/15/20,66.32022447,50.661,58.261,60.419
05/14/20,66.07824662,52.165,59.971,61.003
05/13/20,65.73235722,54.759,61.422,62.616
05/12/20,65.8756759,51.853,59.171,60.083
05/11/20,65.89992022,51.334,59.084,59.404
05/08/20,65.66540292,51.59,60.764,60.589
